id,name,address
a,Hilton Garden Inn Seattle Downtown,"1821 Boren Avenue, Seattle Washington 98101 USA"
0,Sheraton Grand Seattle,"1400 6th Avenue, Seattle, Washington 98101 USA"
0,Crowne Plaza Seattle Downtown,"1113 6th Ave, Seattle, WA 98101"
0,Kimpton Hotel Monaco Seattle ,"1101 4th Ave, Seattle, WA98101"
0,The Westin Seattle,"1900 5th Avenue, Seattle, Washington 98101 USA"
0,The Paramount Hotel Seattle,"724 Pine Street, Seattle Central Business District, Seattle, WA 98101"
0,Hilton Seattle,"1301 6th Avenue Seattle, Washington, 98101-2314, USA"
0,Motif Seattle,"1415 Fifth Ave Seattle, WA 98101 "
0,Warwick Seattle,"401 Lenora Street Seattle, Washington 98121"
A,Hilton Garden Inn Seattle Downtown,"1821 Boren Ave, Seattle WA 98101 USA"
0,Four Seasons Hotel Seattle,"99 Union St, Seattle, WA 98101"
0,W Seattle,"1112 4th Ave, Seattle, WA 98101"
0,Crowne Plaza Seattle,"1113 6th Ave, Seattle, Washington 98101"
0,Gand Hyatt Seattle,"721 Pine St, Seattle, WA 98101"
0,Kimpton Alexis Hotel,"1007 1st Ave, Seattle, WA 98104"
0,Hotel Max,"620 Stewart St, Seattle, WA 98101"
0,Ace Hotel Seattle,"2423 1st Ave, Seattle, WA 98121"
0,Seattle Marriott Waterfront,"2100 Alaskan Way, Seattle, WA 98121"
0,The Edgewater Hotel Seattle,"2411 Alaskan Way, Seattle, WA 98121"
0,SpringHill Suites Seattle Downtown,"1800 Yale Ave, Seattle, WA 98101"
0,Fairmont Olympic Hotel,"411 University St, Seattle, WA 98101"
0,La Quinta Inn & Suites Seattle Downtown,"2224 8th Ave, Seattle, WA 98121"
0,Embassy Suites by Hilton Seattle Downtown Pioneer Square,"255 S King St, Seattle, WA 98104"
0,Pan Pacific Seattle,"2125 Terry Ave, Seattle, WA 98121"
0,Kimpton Hotel Vintage Seattle,"1100 5th Ave, Seattle, WA 98101"
0,Hyatt Place Seattle,"110 6th Ave N, Seattle, WA 98109"
0,Hyatt House Seattle,"201 5th Ave N, Seattle, WA 98109"
0,Inn at the Market,"86 Pine St, Seattle, WA 98101"
0,Ace Hotel Seattle,"2423 1st Ave, Seattle, WA 98121"
0,Moxy Seattle Downtown,"1016 Republican St, Seattle, WA 98109"
0,Thompson Seattle,"110 Stewart St, Seattle, WA 98101"
0,Holiday Inn Seattle Downtown,"211 Dexter Ave N, Seattle, WA 98109"
0,Executive Hotel Pacific,"400 Spring St, Seattle, WA 98104"
0,Hotel Andra,"2000 4th Ave, Seattle, WA 98121"
0,Residence Inn by Marriott Seattle Downtown/Convention Center,"1815 Terry Ave, Seattle, WA 98101"
0,Best Western Plus Pioneer Square Hotel Downtown,"77 Yesler Way, Seattle, WA 98104"
0,Travelodge Seattle by The Space Needle,"200 6th Ave N, Seattle, WA 98109"
0,Homewood Suites by Hilton Seattle Convention Center Pike Street,"1011 Pike St, Seattle, WA 98101"
0,Hyatt Regency Seattle,"808 Howell St, Seattle, WA 98101"
0,Hotel Sorrento,"900 Madison St, Seattle, WA 98104"
0,City Hostel Seattle,"2327 2nd Ave, Seattle, WA 98121"
0,Holiday Inn Express & Suites Seattle-City Center,"226 Aurora Ave N, Seattle, WA 98109"
0,Travelodge Seattle by The Space Needle,"200 6th Avenue North, Seattle, Washington 98109"
0,Staybridge Suites Seattle - Fremont,"3926 Aurora Ave N, Seattle, WA 98103"
0,Mayflower Park Hotel,"405 Olive Way, Seattle, WA 98101"
0,The Inn at El Gaucho,"2505 1st Ave, Seattle, WA 98121"
0,Palihotel Seattle,"107 Pine St, Seattle, WA 98101"
0,Courtyard by Marriott Seattle Downtown/Pioneer Square,"612 2nd Ave, Seattle, WA 98104"
0,The Arctic Club Seattle - a DoubleTree by Hilton Hotel,"700 3rd Ave, Seattle, WA 98104"
0,Sheraton Bellevue Hotel,"100 112th Ave NE, Bellevue, WA 98004"
0,Inn at Queen Anne,"505 1st Ave N, Seattle, WA 98109"
0,Holiday Inn Express & Suites Seattle City Center,"226 Aurora Avenue North, Seattle, Washington 98109"
0,Aloft Seattle Redmond,"15220 NE Shen Street, Redmond, WA 98052"
0,Seattle Airport Marriott,"3201 S 176th St, Seattle, WA 98188"
0,Hilton Seattle Airport & Conference Center,"17620 International Blvd, Seattle, WA 98188"
0,Crowne Plaza Seattle Airport,"17338 International Blvd, Seattle, WA 98188"
0,Radisson Hotel Seattle Airport,"18118 International Blvd, Seattle, WA 98188"
0,DoubleTree by Hilton Hotel Seattle Airport,"18740 International Blvd, Seattle, WA 98188"
0,Ramada by Wyndham SeaTac Airport,"16720 International Blvd, SeaTac, WA 98188"
0,La Quinta by Wyndham Seattle Sea-Tac Airport,"2824 S 188th St, Seattle, WA 98188"
0,Clarion Hotel Seattle Airport,"3000 S 176th St, Seattle, WA 98188"
0,Best Western Seattle Airport Hotel,"20717 International Blvd, Seattle, WA 98198"
0,Red Lion Hotel Seattle Airport Sea-Tac,"18220 International Blvd, Seattle, WA 98188"
0,Cedarbrook Lodge,"18525 36th Ave S, Seattle, WA 98188"
0,Red Roof Inn Seattle Airport - SEATAC,"16838 International Blvd, Seattle, WA 98188"
0,Hampton Inn Seattle-Airport,"19445 International Blvd, Seattle, WA 98188"
0,Coast Gateway Hotel,"18415 International Blvd, Seattle, WA 98188"
0,Embassy Suites by Hilton Seattle Tacoma International Airport,"15920 W Valley Hwy, Seattle, WA 98188"
0,Home2 Suites by Hilton Seattle Airport,"380 Upland Dr, Tukwila, WA 98188"
0,Home2 Suites by Hilton Seattle Airport,"380 Upland Drive, Tukwila, Washington 98188"
0,"Country Inn & Suites by Radisson, Seattle-Tacoma International Airport","3100 S 192nd St, Seattle, WA 98188"
0,Four Points by Sheraton Seattle Airport South,"22406 WA-99, Des Moines, WA 98198"
